affiliates,course_name,year,level,num_weeks,duration,completed,course_url,course_summary,course_detailContent
Google,Developing Android Apps,,intermediate,0.0,60 Hours,,https://www.udacity.com/course/new-android-fundamentals--ud851,"Build a cloud-connected Android app, and learn the tools, principles, and best practices of mobile and Android development that you'll apply to your own projects.","Android Development, Layouts, Intents, UI"
,How to Install Android Studio,,beginner,0.0,1 Day,,https://www.udacity.com/course/how-to-install-android-studio--ud808,Participate in this short tutorial to install Android Studio on your computer and set up a new project using the program's Project Wizard.,"Android, Android Studio, Java"
,Writing READMEs,,beginner,0.0,3 Days,,https://www.udacity.com/course/writing-readmes--ud777,Documentation is an important part of the development process. Learn to write READMEs using Markdown so your code can be used by other humans!,"README, Markdown, Making code easier to read"
Google,Firebase Analytics: iOS,,intermediate,0.0,1 Day,,https://www.udacity.com/course/firebase-analytics-ios--ud353,"Learn how to grow an app's user base using Firebase Analytics, a free and unlimited analytics solution","Android Development, Firebase Analytics, Firebase Crash Reporting, Firebase Remote Config, Firebase Dynamic Links"
,Intro to jQuery,,intermediate,0.0,2 Days,,https://www.udacity.com/course/intro-to-jquery--ud245,Learn how to access and modify the DOM with ease using jQuery!,"jQuery, DOM Structure, Reading jQuery documentation, Modify HTML attributes and content"
Buddybuild,Continuous Integration and Deployment,,intermediate,0.0,2 Days,,https://www.udacity.com/course/continuous-integration-and-deployment--ud1030,"In this course, you'll learn how to improve the mobile development process by using continuous integration and deployment.","Continuous Integration, BuddyBuild, Automated Testing"
,Swift for Beginners,,beginner,0.0,7 Days,,https://www.udacity.com/course/swift-for-beginners--ud1022,"Learn Swift, Apple's programming language for building iOS applications. Start with the basics and work your way towards completing sets of challenges in Swift.","Variables and Constants, Strings, Control Flow, Functions"
,AutoLayout,,intermediate,0.0,6 Days,,https://www.udacity.com/course/auto-layout--ud1026,"With this course, you will learn about AutoLayout and how to use stack views and constraints to create pixel-perfect UIs.","Design, UI, Stack Views, Constraints"
,Shell Workshop,,beginner,0.0,1 Day,,https://www.udacity.com/course/shell-workshop--ud206,"This course is intended to get you up to speed on the shell — using a terminal, managing files and directories, and running command-line programs.",Unix-style command-line environment
,Swift for Developers,,beginner,0.0,7 Days,,https://www.udacity.com/course/swift-for-developers--ud1025,Get a quick practical introduction to Swift programming basics and build your first iOS app!,"Variables and Constants, Strings, Control Flow, Functions"
Google,Firebase in a Weekend: Android,,intermediate,0.0,2 Days,,https://www.udacity.com/course/firebase-in-a-weekend-by-google-android--ud0352,This course will teach you when and why to choose Firebase as a backend for your Android application.,Android Development
Google,Firebase Analytics: Android,,intermediate,0.0,2 Days,,https://www.udacity.com/course/firebase-analytics-android--ud354,"Learn how to grow an app's user base using Firebase Analytics, a free and unlimited analytics solution","Android Development, Firebase, Analytics"
Google,Firebase in a Weekend: iOS,,intermediate,0.0,2 Days,,https://www.udacity.com/course/firebase-in-a-weekend-by-google-ios--ud0351,This course will teach you when and why to choose Firebase as a backend for your iOS application.,Android Development
,What is Programming?,,beginner,0.0,1 Day,,https://www.udacity.com/course/what-is-programming--ud994,This course is your first step towards a career in programming.,
Insight,Spark,,intermediate,0.0,10 Hours,,https://www.udacity.com/course/learn-spark-at-udacity--ud2002,Master how to work with big data and build machine learning models at scale using Spark!,"Spark, SparkSQL, Spark Dataframes, Data Wrangling, Machine Learning"
Upwork,Managing Remote Teams with Upwork,,beginner,0.0,1 Hour,,https://www.udacity.com/course/managing-remote-teams-with-upwork--ud942,Bring your remote-teams to the next level with hands-on skills to manage your remote workforce effectively.,"Team Management, Workforce Training, Business Strategy, Agile Management, Remote Work"
,iOS Design Patterns,,intermediate,0.0,2 Days,,https://www.udacity.com/course/ios-design-patterns--ud1029,"In this course, you'll explore iOS design patterns — the practical and battle-tested solutions to common problems that are used everyday by developers.",
,Craft Your Cover Letter,,beginner,0.0,1 Day,,https://www.udacity.com/course/craft-your-cover-letter--ud244,Write a compelling narrative that showcases your value to the company.,"Creating a narrative, Targeting your pitch, Communicating value, Career Advancement"
Grow With Google,Refresh Your Resume,,beginner,0.0,2 Days,,https://www.udacity.com/course/refresh-your-resume--ud243,Create a targeted resume that gets the attention of recruiters and lands you an interview in tech.,"Resume writing, Company targeting, Storytelling, Career Advancement"
,Full-Stack Interview Prep,,intermediate,1.0,1 Week,,https://www.udacity.com/course/full-stack-interview-prep--ud252,Answer common full stack and web security interview questions with confidence and poise.,"Interview practice, Common FS Questions, Whiteboarding, Career Advancement"
,Front-End Interview Prep,,intermediate,1.0,1 Week,,https://www.udacity.com/course/front-end-interview-prep--ud250,Answer front-end technical and behavioral interview questions with confidence and poise.,"Interview questions, Common FE Questions, Whiteboarding, Career Advancement"
,Machine Learning Interview Preparation,,intermediate,1.0,1 Week,,https://www.udacity.com/course/machine-learning-interview-prep--ud1001,"In this course, you’ll learn exactly what to expect during a machine learning interview.","Interview practice, Machine Learning, Career Advancement"
Grow With Google,Android Interview Prep,,intermediate,1.0,1 Week,,https://www.udacity.com/course/android-interview-prep--ud241,Learn how to respond to common Android and mobile development interview questions.,"Interview practice, Common Android Questions, Whiteboarding"
,Data Science Interview Prep,2015.0,intermediate,1.0,1 Week,yes,https://www.udacity.com/course/data-science-interview-prep--ud944,"Prepare for data science interviews by practicing data analysis, machine learning, and data structure and algorithms questions.","Interview practice, Common Data Questions, Data Structures, Career Advancement"
Grow With Google,Strengthen Your LinkedIn Network & Brand,,beginner,1.0,1 Week,,https://www.udacity.com/course/strengthen-your-linkedin-network-and-brand--ud242,Learn how to excel at networking both in-person and on LinkedIn.,"Personal branding, LinkedIn, Networking, Career Advancement"
,iOS Interview Prep,,intermediate,1.0,1 Week,,https://www.udacity.com/course/ios-interview-prep--ud240,Answer iOS and mobile development interview questions with confidence and poise.,"Interview practice, Common iOS Questions, Whiteboarding, Career Advancement"
Facebook for Developers,Passwordless Login Solutions for Android,,,1.0,1 Week,,https://www.udacity.com/course/passwordless-login-solutions-for-android--ud357,,
,The MVC Pattern in Ruby,,intermediate,1.0,1 Week,,https://www.udacity.com/course/the-mvc-pattern-in-ruby--ud270,"In this course you’ll learn how to organize your code, and why that’s important. You’ll be using the MVC Design Pattern in the web application micro-framework Sinatra.","Ruby, Sinatra, MVC Design Pattern, Writing organized code"
,HTTP & Web Servers,,intermediate,1.0,1 Week,,https://www.udacity.com/course/http-web-servers--ud303,HTTP is the fundamental protocol of the Web. Explore how it works using Python code and command-line tools.,"HTTP, Python, Deploying services"
Facebook for Developers,Passwordless Login Solutions for iOS,,intermediate,1.0,1 Week,,https://www.udacity.com/course/passwordless-login-solutions-for-ios--ud1028,"In this course you'll implement Account Kit and Facebook Login side by side in a sample app, test our login flow on a series of common use cases, and wrap things up with an introduction to Facebook’s Graph API.","Account Kit, Facebook SDK, Graph API"
,Kotlin for Android Developers,,advanced,1.0,1 Week,,https://www.udacity.com/course/kotlin-for-android-developers--ud888,"Take an Android app in Java and convert it to Kotlin, learning key features of the Kotlin programming language along the way.","Kotlin, Android"
,Deploying Applications with Heroku,,intermediate,1.0,1 Week,,https://www.udacity.com/course/deploying-applications-with-heroku--ud272,Deploy your first web application using the Heroku platform and learn about the underlying mechanics of web hosting.,"App Deployment, Heroku"
,Configuring Linux Web Servers,,,1.0,1 Week,,https://www.udacity.com/course/configuring-linux-web-servers--ud299,,
,Product Manager Interview Preparation,,beginner,1.0,1 Week,,https://www.udacity.com/course/product-manager-interview-preparation--ud034,"Ace your product management interview by understanding how to answer key strategic, technical, and practical product questions.","Product Management, Interview Preparation, Career Advancement, Product Strategy, Technical Interview"
,Core ML: Machine Learning for iOS,,intermediate,1.0,1 Week,,https://www.udacity.com/course/core-ml--ud1038,Learn how to use Apple's Core ML framework to build iOS apps with intelligent new features.,"iOS, Image Classification, Core ML"
Grow With Google,VR Interview Prep,,intermediate,1.0,1 Week,,https://www.udacity.com/course/vr-interview-prep--ud251,Learn how to tackle interview questions for technical roles in VR Development.,"Interview practice, Common VR Questions, Whiteboarding, Career Advancement"
Google,Website Performance Optimization,,intermediate,1.0,1 Week,,https://www.udacity.com/course/website-performance-optimization--ud884,"Learn how browsers convert HTML, CSS and JavaScript into websites while you experiment with Chrome Developer Tools to measure and optimize website speed!","Chrome Developer Tools, DOM and CSSOM, Critical Rendering Path HTML, CSS and JavaScript optimizations"
,Eigenvectors and Eigenvalues,,beginner,1.0,1 Week,,https://www.udacity.com/course/eigenvectors-and-eigenvalues--ud104,Learn how to calculate eigenvalues and eigenvectors and why they are important for AI applications.,"Linear Algebra, Eigenvectors, Eigenvalues"
,Server-Side Swift,,intermediate,2.0,2 Weeks,,https://www.udacity.com/course/server-side-swift--ud1031,"In this course, built in collaboration with IBM and Hashicorp, you'll learn how to use Swift as a server-side language for building end-to-end applications.","Swift Package Manager, MySQL, Docker, Terraform, Microservices"
,JavaScript Testing,,intermediate,2.0,2 Weeks,,https://www.udacity.com/course/javascript-testing--ud549,Learn how to iterate on your web applications with confidence using the red-green-refactor workflow cycle and automated testing frameworks.,"Javascript Apps, Jasmine testing framework, red-green-refactor workflow"
Google VR,Introduction to Virtual Reality,,beginner,2.0,2 Weeks,,https://www.udacity.com/course/introduction-to-virtual-reality--ud1012,"If you are interested in learning more about virtual reality, this course will teach you the principles of VR technology and help you understand what you can build in VR.","VR development, Unity, Google VR SDK for Unity, General understanding of how VR works, Deploying to Android and iOS"
Google Cloud,Google Cloud Digital Leader Training,,intermediate,2.0,2 Weeks,,https://www.udacity.com/course/google-cloud-digital-leader-training--ud301,Gain foundational literacy in cloud & digital transformation. Increase your cloud confidence so you can speak with colleagues in technical cloud roles and contribute to informed cloud-related business decisions.,"Google Cloud Fundamentals,  Cloud Computing Fluency,  Digital Transformation Strategy,  Data Innovation,  IT Infrastructure Modernization,  Application Modernization,  Cloud Cost Governance,  Cloud Security Fluency,  Cloud Operational Efficiency"
,Grand Central Dispatch (GCD),,intermediate,2.0,2 Weeks,,https://www.udacity.com/course/grand-central-dispatch-gcd--ud576,Learn how to prevent background operations from interfering with an app's UI by implementing Apple's GCD framework.,"Closures, GCD"
,Intro to JavaScript,,beginner,2.0,2 Weeks,,https://www.udacity.com/course/intro-to-javascript--ud803,"Learn the fundamentals of JavaScript, the most popular programming language in web development.","JavaScript, Conditionals, Loops, Data Types & Variables"
Google,App Marketing,,intermediate,2.0,2 Weeks,,https://www.udacity.com/course/app-marketing--ud719,"This course will help you organize a strategy of identifying your perfect user, and teach you how to grow your user base by focusing your product on their needs.","App Marketing, User Segmentation, Customer Acquisition"
Google,Intro to Progressive Web Apps,,intermediate,2.0,2 Weeks,,https://www.udacity.com/course/intro-to-progressive-web-apps--ud811,In this course you’ll get started working on your very first Progressive Web App (PWA) - a web app that can take advantage of many features native applications have enjoyed!,"Progressive Web Apps, Service Workers, Web App Manifest, Offline apps"
Google,Responsive Web Design Fundamentals,,intermediate,2.0,2 Weeks,,https://www.udacity.com/course/responsive-web-design-fundamentals--ud893,Learn and practice strategies for developing websites that look great on every device! Made with Google's Pete LePage.,"Responsive design patterns, Remote debugging and emulation, Optimizing layout, CSS media queries, CSS flexbox"
,HTML5 Canvas,,beginner,2.0,2 Weeks,,https://www.udacity.com/course/html5-canvas--ud292,Learn how you can use HTML5 Canvas to create and modify images or even interactive animations.,"HTML5 Canvas, Canvas2D, Creating animation"
Alteryx,Classification Models,,intermediate,2.0,2 Weeks,,https://www.udacity.com/course/classification-models--ud978,Learn how to use classification predictive models to solve business problems involving non-numeric data.,"Binary Classication Models, Non-Binary Classification Models"
Alteryx,Problem Solving with Advanced Analytics,,beginner,2.0,2 Weeks,,https://www.udacity.com/course/problem-solving-with-advanced-analytics--ud976,"Learn a scientific approach to solving problems with data, a foundational skill for anyone interested in making data driven decisions in a business context.",Linear Regression
Alteryx,Creating an Analytical Dataset,,beginner,2.0,2 Weeks,,https://www.udacity.com/course/creating-an-analytical-dataset--ud977,Learn how to prepare data to ensure the efficacy of your analysis while improving fluency in Alteryx.,"Data Issues, Data Formatting, Data Blending"
Google,Localization Essentials,,beginner,2.0,2 Weeks,,https://www.udacity.com/course/localization-essentials--ud610,"Localization is about making a product feel tailored to users around the world. Specifically, it is the process of adapting a product to a language, culture and market.","Localization, Google Translator Toolkit, Localization at Google"
Google,Web Accessibility,,advanced,2.0,2 Weeks,,https://www.udacity.com/course/web-accessibility--ud891,"Get hands-on experience making web applications accessible. You’ll understand when and why users need accessibility, then you’ll dive into how to implement.","Accessibility, Screen Readers, Focus, Semantics, ARIA"
Google,Kotlin Bootcamp for Programmers,,intermediate,2.0,2 Weeks,,https://www.udacity.com/course/kotlin-bootcamp-for-programmers--ud9011,Learn the fundamentals of the Kotlin programming language from Kotlin experts at Google.,Android Development
AWS DeepRacer,AWS DeepRacer,,intermediate,2.0,2 Weeks,,https://www.udacity.com/course/aws-deepracer--ud014,Learn the fundamentals of machine learning and reinforcement learning in a fun and engaging way through autonomous driving with AWS DeepRacer.,"Machine Learning, Reinforcement Learning, AWS DeepRacer"
Google,Google Maps APIs,,intermediate,2.0,2 Weeks,,https://www.udacity.com/course/google-maps-apis--ud864,This course will introduce you to the content available through the Google Maps APIs through building a real-estate listings web application step-by-step.,"Google Maps APIs, Static Maps, Street View imagery, monitoring API usage"
,Intro to AJAX,,intermediate,2.0,2 Weeks,,https://www.udacity.com/course/intro-to-ajax--ud110,"Learn how to perform asynchronous requests as you build a web app with data from Google Street View, the New York Times and Wikipedia!","Asynchronous requests with JavaScript, Data APIs, Web Applications, Site Customization"
Facebook for Developers,Mobile Design and Usability for iOS,,intermediate,2.0,2 Weeks,,https://www.udacity.com/course/mobile-design-and-usability-for-ios--ud1034,"In this course, taught in collaboration with Facebook, you'll learn how to design an intuitive, user-centered mobile app, from product conception to release.","Product Design, Prototyping"
Google,Responsive Images,,intermediate,2.0,2 Weeks,,https://www.udacity.com/course/responsive-images--ud882,Go beyond image tags! Learn how to make images a part of your responsive design workflow.,"Responsive Images, Mobile Image debugging, Creating responsive graphics"
,Networking for Web Developers,,beginner,2.0,2 Weeks,,https://www.udacity.com/course/networking-for-web-developers--ud256,You've used the Internet. Now find out more about how it works.,"HTTP, Domain Name System, Ping, TCP/IP stack, IP addressing"
Google,Build Native Mobile Apps with Flutter,,intermediate,2.0,2 Weeks,,https://www.udacity.com/course/build-native-mobile-apps-with-flutter--ud905,Learn from experts at Google how to use Flutter to craft high-quality native interfaces on iOS and Android devices in record time.,Android Development
Facebook for Developers,Mobile Design and Usability for Android,,intermediate,2.0,2 Weeks,,https://www.udacity.com/course/mobile-design-and-usability-for-android--ud358,"In this course, taught in collaboration with Facebook, you'll learn how to design an intuitive, user-centered mobile app, from product conception to release.","Android, Mobile Design, Usability"
Google,Android Basics: User Interface,,beginner,2.0,2 Weeks,,https://www.udacity.com/course/android-basics-user-interface--ud834,Learn how to design your first layout in Android! This is the first course in the Android Basics Nanodegree program.,"Android Development, Building Layouts, Android Studio, Views and ViewGroups, Styling"
,Dynamic Web Applications with Sinatra,,intermediate,2.0,2 Weeks,,https://www.udacity.com/course/dynamic-web-applications-with-sinatra--ud268,"Sinatra is a micro-framework for quickly developing small Ruby applications for the web. In this course, you'll learn all about Sinatra, routing, and templating.","Ruby, Sinatra, Building web applications"
Twitter,Real-Time Analytics with Apache Storm,,intermediate,2.0,2 Weeks,,https://www.udacity.com/course/real-time-analytics-with-apache-storm--ud381,"The world is trending in real time! Learn Apache Storm, taught by Twitter, to scalably analyze real-time tweets and drive d3 visualizations. Storm is free, open and fun!","Data Analysis, Real-time Analytics, Apache Storm"
,Authentication & Authorization: OAuth,,intermediate,2.0,2 Weeks,,https://www.udacity.com/course/authentication-authorization-oauth--ud330,Learn to implement the OAuth 2.0 framework to allow users to securely and easily login to your web applications.,"Flask, OAuth 2.0, Authentication & Authorization, Python"
Google,Building High Conversion Web Forms,,intermediate,2.0,2 Weeks,,https://www.udacity.com/course/building-high-conversion-web-forms--ud890,"Increase conversions with best practices for fast, efficient forms! Learn how to design and build web forms for users on any device.","Research HTML5 input types, Datalist input, User input validation with HTML5 attributes, Validate user input using JavaScript, Optimizing forms"
,Intro to Backend,,intermediate,3.0,3 Weeks,,https://www.udacity.com/course/intro-to-backend--ud171,Learn to build a multiuser blog with Google App Engine that permits users to sign in,"User Input, Producing templated output, Databases and data stores, Secure user account systems"
,Deploying a Hadoop Cluster,,intermediate,3.0,3 Weeks,,https://www.udacity.com/course/deploying-a-hadoop-cluster--ud1000,Deploy your own Hadoop cluster to crunch some big data!,"Data Analysis, Hadoop, MapReduce"
,Intro to HTML and CSS,,beginner,3.0,3 Weeks,,https://www.udacity.com/course/intro-to-html-and-css--ud001,"In this course, you'll learn the fundamentals web development, along with best practices and professional problem-solving techniques using Developer Tools.","HTML, CSS, CSS Syntax, HTML Syntax Problem Set"
,Designing RESTful APIs,,intermediate,3.0,3 Weeks,,https://www.udacity.com/course/designing-restful-apis--ud388,Build and secure a web server with a RESTful Developer-Friendly API that developers will love to use.,"Flask, REST APIs, Python"
,C++ For Programmers,,intermediate,3.0,3 Weeks,,https://www.udacity.com/course/c-for-programmers--ud210,"This course teaches C++ to students already familiar with a programming language. Students will learn how to use header files, control flow, functions, classes.","Pointers and Arrays, Control Flow, Object-Oriented Programming, C++ Templates, C++ Standard Library"
Nutanix,Intro to DevOps,,advanced,3.0,3 Weeks,,https://www.udacity.com/course/intro-to-devops--ud611,"Learn all about the DevOps landscape, workflow, and a survey of the systems currently being used to support scalable software deployment.","DevOps, CAMS principles, Continuous Integration, Delivery workflows"
Amazon Appstore for Android,Engagement & Monetization | Mobile Games,,beginner,3.0,3 Weeks,,https://www.udacity.com/course/engagement-monetization-mobile-games--ud407,"You will learn the most effective monetization strategies for your game, how to  keep your players interested and engaged, so that your game stands out in the app store.","Game Development, Monetization, Engagement"
Amazon Web Services,Full Stack Foundations,,intermediate,3.0,3 Weeks,,https://www.udacity.com/course/full-stack-foundations--ud088,Learn the fundamentals of back-end web development by creating your own web application from the ground up using the iterative development process.,"Flask, CRUD, Model-View-Controller, Python, Object-relational Mapping"
,Object-Oriented JavaScript,,intermediate,3.0,3 Weeks,,https://www.udacity.com/course/object-oriented-javascript--ud711,,"Object Oriented Javascript, Object-oriented programming, Data and functionality, Prototypal inheritance"
Georgia Institute of Technology,GT - Refresher - Advanced OS,,intermediate,3.0,3 Weeks,,https://www.udacity.com/course/gt-refresher-advanced-os--ud098,"This course covers the essential Operating Systems concepts students need in preparation for the rest of the GT ""Advanced Operating Systems"" sequence.","Operating Systems, Virtual Memory, File Systems, Multithreaded Programming, Networking"
,Asynchronous JavaScript Requests,,intermediate,3.0,3 Weeks,,https://www.udacity.com/course/asynchronous-javascript-requests--ud109,Learn how to asynchronously request data in your web applications with Ajax.,"Asynchronous Data Retrieval, Ajax with XHR, Ajax with jQuery, Ajax with Fetch"
Google,Get Your Startup Started,,intermediate,3.0,3 Weeks,,https://www.udacity.com/course/get-your-startup-started--ud806,Acquire the know-how necessary to see your business grow towards its next milestone.,"Entrepreneurship, Bootstrapping"
Google,Web Tooling & Automation,,intermediate,3.0,3 Weeks,,https://www.udacity.com/course/web-tooling-automation--ud892,"In this course, you’ll learn how to setup your development environment and save a lot of time and effort with automatic optimization.","Installing Sublime Text, Installing Plugins, Gulp, Live Editing, ESLint"
Google,Rapid Prototyping,,intermediate,3.0,3 Weeks,,https://www.udacity.com/course/rapid-prototyping--ud723,Learning to prototype will save you time and money in the development process. You’ll create quality apps faster and have confidence in the viability of your products.,"Prototyping, User Research, inVision"
,Segmentation and Clustering,,intermediate,3.0,3 Weeks,,https://www.udacity.com/course/segmentation-and-clustering--ud981,The Segmentation & Clustering course provides students with the knowledge to build and apply clustering models to develop sophisticated segmentation in business contexts.,"Variable Reduction, Clustering Models design"
,Time Series Forecasting,,intermediate,3.0,3 Weeks,,https://www.udacity.com/course/time-series-forecasting--ud980,The Time Series Forecasting course provides students with the foundational knowledge to build and apply time series forecasting models in a variety of business contexts.,"Time Series Forecasting, ETS Models, ARIMA Models"
,Data Visualization in Tableau,,beginner,3.0,3 Weeks,,https://www.udacity.com/course/data-visualization-in-tableau--ud1006,Learn the fundamentals of data visualization and practice communicating with data.,"Tableau, Design of Visualizations, Visual Encodings"
,A/B Testing for Business Analysts,,intermediate,3.0,3 Weeks,,https://www.udacity.com/course/ab-testing--ud979,The A/B Testing course provides students with the foundational knowledge to design and analyze A/B tests to create business insights and support decision making.,"A/B Randomized Design Tests, A/B Matched Pair Design Tests"
Google,JavaScript Promises,,advanced,3.0,3 Weeks,,https://www.udacity.com/course/javascript-promises--ud898,Learn how to simplify asynchronous work with Native JavaScript Promises!,"Native JavaScript Promises, Asynchronous code, Advanced error handling, Generating sequences of async work"
Google,Offline Web Applications,,intermediate,3.0,3 Weeks,,https://www.udacity.com/course/offline-web-applications--ud899,Learn how to develop offline-first web application using Service Workers and IndexedDB.,"Developing offline-first applications, Understanding Lie-Fi, Service Worker DevTools, IndexedDB, IndexedDB asset caching"
,Learn Swift Programming Syntax,,intermediate,3.0,3 Weeks,,https://www.udacity.com/course/learn-swift-programming-syntax--ud902,"This course focuses on the syntax of the Swift programming language. By the end of the course, you'll be able to apply Swift essentials to building iOS apps.","Variables and Constants, Control Flow, Functions, Optionals, OOP"
,Xcode Debugging,,advanced,3.0,3 Weeks,,https://www.udacity.com/course/xcode-debugging--ud774,"In this course, you'll learn standard methodologies for debugging software, and how to use Xcode's debugging tools to find and squash bugs.","Debugging, LLDB"
,How to create <anything> in Android,,beginner,4.0,4 Weeks,,https://www.udacity.com/course/how-to-create-anything-in-android--ud802,Learn to implement the newest Android user interface components while building apps in Android Studio.,"Android, UI, App Development"
Georgia Institute of Technology,Machine Learning: Unsupervised Learning,,intermediate,4.0,1 Month,,https://www.udacity.com/course/machine-learning-unsupervised-learning--ud741,Ever wonder how Netflix can predict what movies you'll like? Or how Amazon knows what you want to buy before you do? The answer can be found in Unsupervised Learning!,"Randomized Optimization, Clustering, Feature Selection, Feature Transformation, Information Theory"
Google,A/B Testing,,intermediate,4.0,1 Month,,https://www.udacity.com/course/ab-testing--ud257,"This course will cover the design and analysis of A/B tests, also known as split tests, which are online experiments used to test potential improvements to a website or mobile application. ","A/B tests,  Results Analysis,  Statistical Significance "
,JavaScript and the DOM,,intermediate,4.0,4 Weeks,,https://www.udacity.com/course/javascript-and-the-dom--ud117,,
Microsoft Azure,AI Fundamentals,,beginner,4.0,1 Month,,https://www.udacity.com/course/ai-fundamentals--ud099,"AI Fundamentals is an entry point into the world of AI using Microsoft's cloud-based solutions, such as Azure Machine Learning and Azure Cognitive Services.","Artificial Intelligence,  Machine Learning,  Azure,  Computer Vision,  Azure Cognitive Services,  Natural Language Processing,  Conversational AI"
Salesforce,Intro to Point & Click App Development,,beginner,4.0,1 Month,,https://www.udacity.com/course/intro-to-point-click-app-development--ud162,In this short class you'll build powerful apps without writing code. Great if you're an aspiring developer or someone who wants to learn what programmers do.,"Salesforce App Development, Schema Building, Data Modeling"
,Intel® Edge AI Fundamentals with OpenVINO™,,intermediate,4.0,1 Month,,https://www.udacity.com/course/intel-edge-AI-fundamentals-with-openvino--ud132,Stay at the cutting-edge of AI technology by gaining practical skills for deploying edge AI. Learn how to use the Intel Distribution of OpenVINO toolkit to deploy computer vision capabilities inside a range of edge applications.,"Edge AI, Intel OpenVINO, Computer Vision, Deep Learning"
,Intro to Relational Databases,,intermediate,4.0,4 Weeks,,https://www.udacity.com/course/intro-to-relational-databases--ud197,Relational databases are a powerful tool used throughout the industry. Learn the basics of SQL and how to connect your Python code to a relational database.,"Rational databases, SQL, Python API, Python DB-API, Select and insert statements"
,ES6 - JavaScript Improved,,advanced,4.0,4 Weeks,,https://www.udacity.com/course/es6-javascript-improved--ud356,Learn about the changes made to the JavaScript programming language in ECMAScript 6 and how to use these new improvements to write better cleaner code.,"JavaScript, ES6, Syntax, Functions"
Google,Android Performance,,advanced,4.0,4 Weeks,,https://www.udacity.com/course/android-performance--ud825,"Performance matters to users, so it must matter to you. Learn how to identify and fix bottlenecks in your Android applications, and ensure a smooth user experience.","Android Development, Performance, Optimization"
Google,Android Basics: User Input,,beginner,4.0,4 Weeks,,https://www.udacity.com/course/android-basics-user-input--ud836,Learn how to make your apps interactive using buttons and text! In this course you'll learn the basics of the Java programming language and how to apply them to Android.,"Android Development, Java, Object-Oriented Programming, Conditional Code, Methods, Variables"
,Version Control with Git,,beginner,4.0,4 Weeks,,https://www.udacity.com/course/version-control-with-git--ud123,"Learn how to use Git, a popular Version Control System and essential tool for any developer.","Git, Version Control, Creating a Git repo, Editing commits"
,Data Structures & Algorithms in Swift,,intermediate,4.0,4 Weeks,,https://www.udacity.com/course/data-structures-and-algorithms-in-swift--ud1011,Review and practice the skills technical interviewers expect you to know and learn how to explain your Swift solutions.,"Interview practice, Swift, Data structures, Career Advancement"
,Intro to iOS App Development with Swift,,intermediate,4.0,1 Month,,https://www.udacity.com/course/intro-to-ios-app-development-with-swift--ud585,Take the first step in becoming an iOS Developer by learning about Swift and writing your first app.,"Swift, UIKit, AVFoundation"
