Date,Zip Code,Model Year,Fuel,Make,Light_Duty,Vehicles
10/1/2018,90000,2006,Gasoline,OTHER/UNK,,1
10/1/2018,,2014,Gasoline,,Yes,1
,90000,,Gasoline,OTHER/UNK,Yes,
10/1/2018,90000,2017,Gasoline,OTHER/UNK,Yes,1
10/1/2018,90000,<2006,Diesel and Diesel Hybrid,OTHER/UNK,No,55
10/1/2018,90000,<2006,Diesel and Diesel Hybrid,OTHER/UNK,Yes,2
10/1/2018,90000,<2006,Diesel and Diesel Hybrid,WHITE,No,19
10/1/2018,90000,<2006,Battery Electric,OTHER/UNK,No,4
10/1/2018,90000,<2006,Gasoline,Type_A,Yes,33
10/2/2018,90000,<2006,Gasoline,Type_B,Yes,11
10/3/2018,90000,<2006,Gasoline,Type_C,Yes,28
10/4/2018,90000,<2006,Gasoline,Type_D,Yes,19
10/5/2018,90000,<2006,Gasoline,OTHER/UNK,No,55
10/6/2018,90000,<2006,Gasoline,OTHER/UNK,Yes,35
10/7/2018,90000,<2006,Gasoline,Type_E,Yes,59
10/8/2018,90000,<2006,Other,OTHER/UNK,Yes,6
10/9/2018,90001,2006,Diesel and Diesel Hybrid,Type_C,No,16
10/10/2018,90001,2006,Diesel and Diesel Hybrid,OTHER/UNK,No,23
10/11/2018,90001,2006,Diesel and Diesel Hybrid,OTHER/UNK,Yes,9
10/12/2018,,2006,,,Yes,
10/13/2018,90001,2007,Diesel and Diesel Hybrid,OTHER/UNK,Yes,10
10/14/2018,90001,2007,Flex-Fuel,Type_A,Yes,78
10/15/2018,90001,2007,Flex-Fuel,OTHER/UNK,Yes,17
10/16/2018,90001,2007,Gasoline,Type_F,Yes,16
10/17/2018,90001,2007,Gasoline,Type_G,Yes,40
10/18/2018,90001,2007,Gasoline,Type_H,Yes,35
10/19/2018,90001,2007,Gasoline,Type_A,Yes,183
10/20/2018,90001,2007,Gasoline,Type_I,Yes,63
10/21/2018,90001,2007,Gasoline,Type_B,Yes,87
10/22/2018,90001,2007,Gasoline,Type_C,Yes,101
10/23/2018,90001,2007,Gasoline,Type_D,Yes,47
10/24/2018,90001,2007,Gasoline,Type_J,Yes,182
10/25/2018,90001,2007,Gasoline,Type_J,Yes,21
10/26/2018,90001,2007,Gasoline,Type_Y,Yes,34
10/27/2018,90001,2007,Gasoline,Type_K,Yes,30
10/28/2018,90001,2007,Gasoline,Type_L,Yes,16
10/29/2018,90001,2007,Gasoline,Type_S,Yes,39
10/30/2018,90001,2007,Gasoline,Type_GG,Yes,14
10/31/2018,90001,2007,Gasoline,Type_T,Yes,12
11/1/2018,90001,2007,Gasoline,Type_M,Yes,15
11/2/2018,90001,2007,Gasoline,Type_N,Yes,182
,90001,,Gasoline,Type_N,,
10/2/2018,90001,2008,Diesel and Diesel Hybrid,OTHER/UNK,No,56
10/3/2018,90001,2008,Diesel and Diesel Hybrid,OTHER/UNK,Yes,8
10/4/2018,90001,2008,Battery Electric,OTHER/UNK,Yes,1
10/5/2018,90001,2008,Flex-Fuel,Type_A,Yes,30
10/6/2018,90001,2008,Flex-Fuel,OTHER/UNK,Yes,18
10/7/2018,90001,2008,Gasoline,Type_F,Yes,13
10/8/2018,90001,2008,Gasoline,Type_G,Yes,40
10/9/2018,90001,2008,Gasoline,Type_H,Yes,25
10/10/2018,90001,2008,Gasoline,Type_A,Yes,102
10/11/2018,90001,2008,Gasoline,Type_I,Yes,35
10/12/2018,90001,2008,Gasoline,Type_B,Yes,69
10/13/2018,90001,2008,Gasoline,Type_C,Yes,76
10/14/2018,90001,2008,Gasoline,Type_D,Yes,24
10/15/2018,90001,2008,Gasoline,Type_J,Yes,160
10/16/2018,90001,2008,Gasoline,Type_J,Yes,21
10/17/2018,90001,2008,Gasoline,Type_Y,Yes,35
10/18/2018,9001,2008,,,,26
10/19/2018,90001,2009,Gasoline,OTHER/UNK,No,2
10/20/2018,90001,2009,Gasoline,OTHER/UNK,Yes,55
10/21/2018,90001,2009,Gasoline,Type_X,Yes,22
10/22/2018,90001,2009,Gasoline,Type_Q,Yes,163
10/23/2018,90001,2009,Gasoline,Type_R,Yes,11
10/24/2018,90001,2009,Hybrid Gasoline,OTHER/UNK,Yes,18
10/25/2018,90001,2009,Natural Gas,OTHER/UNK,No,2
10/26/2018,90001,2010,Diesel and Diesel Hybrid,OTHER/UNK,No,27
10/27/2018,90001,2010,Diesel and Diesel Hybrid,OTHER/UNK,Yes,2
10/28/2018,90001,2010,Flex-Fuel,Type_A,Yes,30
10/29/2018,90001,2010,Flex-Fuel,Type_C,Yes,14
10/30/2018,90001,2010,Flex-Fuel,OTHER/UNK,Yes,15
10/31/2018,90001,2010,Gasoline,Type_A,Yes,36
11/1/2018,90001,2010,Gasoline,Type_I,Yes,16
11/2/2018,90001,2010,Gasoline,Type_B,Yes,52
10/2/2018,90001,2010,Gasoline,Type_C,Yes,52
10/3/2018,90001,2010,Gasoline,Type_J,Yes,101
10/4/2018,90001,2010,Gasoline,Type_J,Yes,20
10/5/2018,90001,2010,Gasoline,Type_K,Yes,14
10/6/2018,90001,2010,Gasoline,Type_L,Yes,19
10/7/2018,90001,2010,Gasoline,Type_S,Yes,14
10/8/2018,90001,2010,Gasoline,Type_T,Yes,13
10/9/2018,90001,2010,Gasoline,Type_M,Yes,20
10/10/2018,90001,2010,Gasoline,Type_N,Yes,93
10/11/2018,90001,2010,Gasoline,OTHER/UNK,Yes,55
10/12/2018,90001,2010,Gasoline,Type_X,Yes,21
10/13/2018,90001,2010,Gasoline,Type_Q,Yes,149
10/14/2018,90001,2010,Gasoline,Type_R,Yes,14
10/15/2018,90001,2010,Hybrid Gasoline,OTHER/UNK,Yes,13
10/16/2018,90001,2010,Hybrid Gasoline,Type_Q,Yes,23
10/17/2018,90001,2011,Diesel and Diesel Hybrid,Type_MM,No,13
10/18/2018,90001,2011,Diesel and Diesel Hybrid,Type_NN,No,12
10/19/2018,90001,2011,Diesel and Diesel Hybrid,OTHER/UNK,No,22
10/20/2018,90001,2011,Diesel and Diesel Hybrid,OTHER/UNK,Yes,3
10/21/2018,90001,2011,Flex-Fuel,Type_A,Yes,49
10/22/2018,90001,2011,Flex-Fuel,Type_C,Yes,19
10/23/2018,90001,2011,Flex-Fuel,OTHER/UNK,No,4
10/24/2018,90001,2011,Flex-Fuel,OTHER/UNK,Yes,20
10/25/2018,90001,2011,Gasoline,Type_G,Yes,36
10/26/2018,90001,2011,Gasoline,Type_A,Yes,53
10/27/2018,90001,2011,Gasoline,Type_B,Yes,17
10/28/2018,90001,2011,Gasoline,Type_C,Yes,55
10/29/2018,90001,2011,Gasoline,Type_J,Yes,76
10/30/2018,90001,2011,Gasoline,Type_J,Yes,17
10/31/2018,90001,2011,Gasoline,Type_K,Yes,18
11/1/2018,90001,2011,Gasoline,Type_L,Yes,34
11/2/2018,90001,2011,Gasoline,Type_M,Yes,16
10/2/2018,90001,2011,Gasoline,Type_N,Yes,119
10/3/2018,90001,2011,Gasoline,OTHER/UNK,Yes,80
10/4/2018,90001,2011,Gasoline,Type_X,Yes,13
10/5/2018,90001,2011,Gasoline,Type_Q,Yes,192
10/6/2018,90001,2011,Gasoline,Type_R,Yes,13
10/7/2018,90001,2011,Hybrid Gasoline,OTHER/UNK,Yes,7
10/8/2018,90001,2011,Hybrid Gasoline,Type_Q,Yes,15
10/9/2018,90001,2012,Diesel and Diesel Hybrid,Type_MM,No,23
10/10/2018,90001,2012,Diesel and Diesel Hybrid,OTHER/UNK,No,32
10/11/2018,90001,2012,Diesel and Diesel Hybrid,OTHER/UNK,Yes,4
10/12/2018,90001,2012,Flex-Fuel,Type_A,Yes,17
10/13/2018,90001,2012,Flex-Fuel,OTHER/UNK,No,1
10/14/2018,90001,2012,Flex-Fuel,OTHER/UNK,Yes,34
10/15/2018,90001,2012,Gasoline,Type_G,Yes,16
10/16/2018,90001,2012,Gasoline,Type_A,Yes,62
10/17/2018,90001,2012,Gasoline,Type_I,Yes,19
10/18/2018,90001,2012,Gasoline,Type_B,Yes,23
10/19/2018,90001,2012,Gasoline,Type_C,Yes,43
10/20/2018,90001,2012,Gasoline,Type_J,Yes,158
10/21/2018,90001,2012,Gasoline,Type_J,Yes,23
10/22/2018,90001,2012,Gasoline,Type_K,Yes,25
10/23/2018,90001,2012,Gasoline,Type_L,Yes,49
10/24/2018,90001,2012,Gasoline,Type_M,Yes,14
10/25/2018,90001,2012,Gasoline,Type_N,Yes,168
10/26/2018,90001,2012,Gasoline,OTHER/UNK,No,1
10/27/2018,90001,2012,Gasoline,OTHER/UNK,Yes,72
10/28/2018,90001,2012,Gasoline,Type_X,Yes,26
10/29/2018,90001,2012,Gasoline,Type_Q,Yes,159
10/30/2018,90001,2012,Gasoline,Type_R,Yes,18
10/31/2018,90001,2012,Hybrid Gasoline,OTHER/UNK,Yes,6
11/1/2018,90001,2012,Hybrid Gasoline,Type_Q,Yes,16
11/2/2018,90001,2012,Plug-in Hybrid,OTHER/UNK,Yes,1
10/2/2018,90001,2013,Diesel and Diesel Hybrid,OTHER/UNK,No,27
10/3/2018,90001,2013,Diesel and Diesel Hybrid,OTHER/UNK,Yes,5
10/4/2018,90001,2013,Battery Electric,OTHER/UNK,Yes,1
10/5/2018,90001,2013,Flex-Fuel,Type_A,Yes,28
10/6/2018,90001,2013,Flex-Fuel,Type_C,Yes,28
10/7/2018,90001,2013,Flex-Fuel,OTHER/UNK,Yes,25
10/8/2018,90001,2013,Gasoline,Type_G,Yes,12
10/9/2018,90001,2013,Gasoline,Type_A,Yes,88
10/10/2018,90001,2013,Gasoline,Type_I,Yes,13
10/11/2018,90001,2013,Gasoline,Type_B,Yes,59
10/12/2018,90001,2013,Gasoline,Type_C,Yes,68
10/13/2018,90001,2013,Gasoline,Type_J,Yes,138
10/14/2018,90001,2013,Gasoline,Type_J,Yes,55
10/15/2018,90001,2013,Gasoline,Type_Y,Yes,15
10/16/2018,90001,2013,Gasoline,Type_K,Yes,11
10/17/2018,90001,2013,Gasoline,Type_L,Yes,75
10/18/2018,90001,2013,Gasoline,Type_M,Yes,22
10/19/2018,90001,2013,Gasoline,Type_N,Yes,195
10/20/2018,90001,2013,Gasoline,OTHER/UNK,No,1
10/21/2018,90001,2013,Gasoline,OTHER/UNK,Yes,52
10/22/2018,90001,2013,Gasoline,Type_O,Yes,12
10/23/2018,90001,2013,Gasoline,Type_X,Yes,25
10/24/2018,90001,2013,Gasoline,Type_Q,Yes,201
10/25/2018,90001,2013,Gasoline,Type_R,Yes,31
10/26/2018,90001,2013,Hybrid Gasoline,OTHER/UNK,Yes,9
10/27/2018,90001,2013,Hybrid Gasoline,Type_Q,Yes,30
10/28/2018,90001,2013,Plug-in Hybrid,OTHER/UNK,Yes,7
10/29/2018,90001,2014,Diesel and Diesel Hybrid,Type_MM,No,12
10/30/2018,90001,2014,Diesel and Diesel Hybrid,OTHER/UNK,No,13
10/31/2018,90001,2014,Diesel and Diesel Hybrid,OTHER/UNK,Yes,7
11/1/2018,90001,2014,Battery Electric,OTHER/UNK,Yes,1
11/2/2018,90001,2014,Flex-Fuel,Type_A,Yes,41
10/2/2018,90001,2014,Flex-Fuel,Type_C,Yes,15
10/3/2018,90001,2014,Flex-Fuel,OTHER/UNK,No,2
10/4/2018,90001,2014,Flex-Fuel,OTHER/UNK,Yes,16
10/5/2018,90001,2014,Gasoline,Type_G,Yes,15
10/6/2018,90001,2014,Gasoline,Type_H,Yes,11
10/7/2018,90001,2014,Gasoline,Type_A,Yes,94
10/8/2018,90001,2014,Gasoline,Type_B,Yes,48
10/9/2018,90001,2014,Gasoline,Type_C,Yes,75
10/10/2018,90001,2014,Gasoline,Type_D,Yes,22
10/11/2018,90001,2014,Gasoline,Type_J,Yes,141
10/12/2018,90001,2014,Gasoline,Type_J,Yes,14
10/13/2018,90001,2014,Gasoline,Type_K,Yes,39
10/14/2018,90001,2014,Gasoline,Type_L,Yes,74
10/15/2018,90001,2014,Gasoline,Type_S,Yes,15
10/16/2018,90001,2014,Gasoline,Type_T,Yes,14
10/17/2018,90001,2014,Gasoline,Type_M,Yes,12
10/18/2018,90001,2014,Gasoline,Type_N,Yes,269
10/19/2018,90001,2014,Gasoline,OTHER/UNK,No,3
10/20/2018,90001,2014,Gasoline,OTHER/UNK,Yes,46
10/21/2018,90001,2014,Gasoline,Type_O,Yes,14
10/22/2018,90001,2014,Gasoline,Type_X,Yes,14
10/23/2018,90001,2014,Gasoline,Type_Q,Yes,213
10/24/2018,90001,2014,Gasoline,Type_R,Yes,18
10/25/2018,90001,2014,Hybrid Gasoline,OTHER/UNK,Yes,17
10/26/2018,90001,2014,Plug-in Hybrid,OTHER/UNK,Yes,5
10/27/2018,90001,2015,Diesel and Diesel Hybrid,OTHER/UNK,No,14
10/28/2018,90001,2015,Diesel and Diesel Hybrid,OTHER/UNK,Yes,11
10/29/2018,90001,2015,Flex-Fuel,Type_A,Yes,13
10/30/2018,90001,2015,Flex-Fuel,Type_B,Yes,14
10/31/2018,90001,2015,Flex-Fuel,Type_C,Yes,16
11/1/2018,90001,2015,Flex-Fuel,OTHER/UNK,No,2
11/2/2018,90001,2015,Flex-Fuel,OTHER/UNK,Yes,16
12/2/2018,90001,2015,Gasoline,Type_G,Yes,19
12/3/2018,90001,2015,Gasoline,Type_A,Yes,141
12/4/2018,90001,2015,Gasoline,Type_I,Yes,26
12/5/2018,90001,2015,Gasoline,Type_B,Yes,65
12/6/2018,90001,2015,Gasoline,Type_C,Yes,50
12/7/2018,90001,2015,Gasoline,Type_D,Yes,14
12/8/2018,90001,2015,Gasoline,Type_J,Yes,208
12/9/2018,90001,2015,Gasoline,Type_J,Yes,34
12/10/2018,90001,2015,Gasoline,Type_Y,Yes,19
12/11/2018,90001,2015,Gasoline,Type_K,Yes,51
12/12/2018,90001,2015,Gasoline,Type_L,Yes,161
12/13/2018,90001,2015,Gasoline,Type_M,Yes,14
12/14/2018,90001,2015,Gasoline,Type_N,Yes,327
12/15/2018,90001,2015,Gasoline,OTHER/UNK,No,2
12/16/2018,90001,2015,Gasoline,OTHER/UNK,Yes,57
12/17/2018,90001,2015,Gasoline,Type_O,Yes,15
12/18/2018,90001,2015,Gasoline,Type_X,Yes,16
12/19/2018,90001,2015,Gasoline,Type_Q,Yes,257
12/20/2018,90001,2015,Gasoline,Type_R,Yes,17
12/21/2018,90001,2015,Hybrid Gasoline,Type_L,Yes,14
12/22/2018,90001,2015,Hybrid Gasoline,OTHER/UNK,Yes,7
12/23/2018,90001,2015,Hybrid Gasoline,Type_Q,Yes,30
12/24/2018,90001,2015,Plug-in Hybrid,OTHER/UNK,Yes,5
12/25/2018,90001,2016,Diesel and Diesel Hybrid,OTHER/UNK,No,16
12/26/2018,90001,2016,Diesel and Diesel Hybrid,OTHER/UNK,Yes,18
12/27/2018,90001,2016,Battery Electric,OTHER/UNK,Yes,1
12/28/2018,90001,2016,Flex-Fuel,Type_A,Yes,25
12/29/2018,90001,2016,Flex-Fuel,Type_B,Yes,13
12/30/2018,90001,2016,Flex-Fuel,Type_C,Yes,14
12/31/2018,90001,2016,Flex-Fuel,OTHER/UNK,Yes,16
1/1/2019,90001,2016,Gasoline,Type_G,Yes,18
1/2/2019,90001,2016,Gasoline,Type_A,Yes,117
1/3/2019,90001,2016,Gasoline,Type_I,Yes,17
1/4/2019,90001,2016,Gasoline,Type_B,Yes,48
1/5/2019,90001,2016,Gasoline,Type_C,Yes,67
1/6/2019,90001,2016,Gasoline,Type_J,Yes,273
1/7/2019,90001,2016,Gasoline,Type_J,Yes,36
1/8/2019,90001,2016,Gasoline,Type_K,Yes,47
1/9/2019,90001,2016,Gasoline,Type_L,Yes,236
1/10/2019,90001,2016,Gasoline,Type_S,Yes,19
1/11/2019,90001,2016,Gasoline,Type_T,Yes,17
1/12/2019,90001,2016,Gasoline,Type_N,Yes,279
1/13/2019,90001,2016,Gasoline,OTHER/UNK,No,3
1/14/2019,90001,2016,Gasoline,OTHER/UNK,Yes,82
1/15/2019,90001,2016,Gasoline,Type_O,Yes,13
1/16/2019,90001,2016,Gasoline,Type_X,Yes,16
1/17/2019,90001,2016,Gasoline,Type_P,Yes,11
